id,content,date,language,tags,title,ratings,sentiment,offerings,destinations,norm_user_rating,user_rating,categorized_rating
377380-203588959943,جميل,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c9g9th4bb64rs4ni6s70', 'sentiment': None}]",Umluj Beach,"{'normalized': 80, 'raw': 4}",positive,['Tourism Attractions/ Sites'],['Umluj'],80,4,positive
377380-203589247596,متنزه جميل,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c9g9s7sbb64rs4ni6s6g', 'sentiment': None}]",Park Alheefah,"{'normalized': 80, 'raw': 4}",positive,['Tourism Attractions/ Sites'],['Tanomah'],80,4,positive
377380-203582835148,جميل مناسب للعائلات,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdfc8hb0r13sa7ag0', 'sentiment': None}, {'value': 'c07bdfc8hb0r13sa7agg', 'sentiment': None}]",Uqair Beach,"{'normalized': 40, 'raw': 2}",positive,"['Food & Beverage', 'Tourism Attractions/ Sites']","['Al Ahsa', 'Al Ahsa']",40,2,negative
377380-173191725820,جميل ورائع,2021-04-20T19:47:00+00:00,ara,"[{'value': 'c0rqv44bb64sdb6ukkr0', 'sentiment': None}]",Rosh Rayhaan by Rotana,"{'normalized': 100, 'raw': 5}",positive,['Food & Beverage'],['Riyadh'],100,5,positive
377380-203587338076,جيد لحد ماء .☹ لازم تكون حميع اغراضك معك لا تتوهق لانه خارج الكرة الارضية ولافيه اي خدمات,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rquskbb64sdb6ukkq0', 'sentiment': None}]",King Salman Park,"{'normalized': 40, 'raw': 2}",negative,"['Tourism Attractions/ Sites', 'Accommodation']","['Madinah', 'Riyadh']",40,2,negative
377380-203597264111,اكثر من رائع,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Arruddaf Park,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Taif'],100,5,positive
377380-203585917978,ماشاءالله نظافة وكل شي مرتب,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}]",Khobar Sea Front,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Khobar'],100,5,positive
377380-203587240478,Perfect place to visit,2021-04-11T06:47:00+00:00,eng,"[{'value': 'c9g9fck8hb0qun2qahug', 'sentiment': None}]",Catalina Seaplane Wreckage,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Tabuk'],100,5,positive
377380-203584278574,"Very good, pleasant atmosphere. Good for daily walking, and good for family hangout.",2021-04-11T06:47:00+00:00,eng,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}]",Prince Ibn Jalawy Park,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Khobar'],100,5,positive
377380-173625676396,Wonderful room,2021-04-25T02:26:00+00:00,eng,"[{'value': 'c07bja4bb64t6si78uog', 'sentiment': None}]",AlRawda Almakyah Hotel,"{'normalized': 100, 'raw': 5}",positive,['Accommodation'],['Makkah'],100,5,positive
377380-203583167542,جميل جدا نشكر القائمين عليه,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c9g7u348hb0qun2qahng', 'sentiment': None}]",Park Prince Mishari Bin Saud,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Al Baha'],100,5,positive
377380-173764790862,"فندق 5 نجوم خدماته متميزة، قريب جدا من المسجد النبوي",2021-04-25T16:57:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123jg', 'sentiment': None}]",Pullman Zamzam Madina,"{'normalized': 100, 'raw': 5}",positive,['Accommodation'],['Madinah'],100,5,positive
377380-203587206829,مكان تراثي جميل جدا,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}]",Ushaiqer Heritage Village,"{'normalized': 100, 'raw': 5}",positive,"['Tourism Attractions/ Sites', 'Tourism Attractions/ Sites']","['Madinah', 'Riyadh']",100,5,positive
377380-173715966269,Amazing place for the holidays. Love It,2021-04-26T04:44:00+00:00,eng,"[{'value': 'c07bdkkbb64t6si78s20', 'sentiment': None}]",Mövenpick Resort Al Nawras Jeddah,"{'normalized': 100, 'raw': 5}",positive,['Accommodation'],['Jeddah'],100,5,positive
377380-203585572143,مكان رائع,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}, {'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rquskbb64sdb6ukkq0', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122rg', 'sentiment': None}]","King Abdullah Park, Sea front","{'normalized': 100, 'raw': 5}",positive,"['Tourism Attractions/ Sites', 'Tourism Attractions/ Sites', 'Accommodation', 'Tourism Attractions/ Sites', 'Tourism Attractions/ Sites']","['Khobar', 'Madinah', 'Riyadh', 'Riyadh', 'Dammam']",100,5,positive
377380-203584635098,Beautiful ❤,2021-04-11T06:47:00+00:00,eng,"[{'value': 'c9g9th4bb64rs4ni6s70', 'sentiment': None}]",Umluj Beach,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Umluj'],100,5,positive
377380-172173568992,I love it place this is beautiful masque in the world,2021-04-11T06:47:00+00:00,eng,"[{'value': 'c07bja4bb64t6si78uvg', 'sentiment': None}]",Masjid al-Haram,"{'normalized': 100, 'raw': 5}",positive,['Religious'],['Makkah'],100,5,positive
377380-174019291365,ماشاء الله تبارك الرحمن الفندق اكثر من رائع وفخم ونظيف جدا وموظفين الاستقبال جدا رائعين انصح فيه بشدة,2021-04-28T14:04:00+00:00,ara,"[{'value': 'c07bdkkbb64t6si78s20', 'sentiment': None}]",Ruve Jeddah Hotel,"{'normalized': 100, 'raw': 5}",positive,['Accommodation'],['Jeddah'],100,5,positive
377380-203582869090,راااااائع المكان والتنظيم جميل جدا للتصوير شي خرافي Recomend it for sure👍🏻👍🏻,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdfc8hb0r13sa7agg', 'sentiment': None}]",Al-Qara Hill,"{'normalized': 80, 'raw': 4}",positive,['Tourism Attractions/ Sites'],['Al Ahsa'],80,4,positive
377380-174034517930,مغلق ويتم تغيير الفندق دون اشعار الضيف.إدارة فاشلة من الاخر,2021-04-28T18:49:00+00:00,ara,"[{'value': 'c07bja4bb64t6si78uog', 'sentiment': None}]",DoubleTree by Hilton Makkah Jabal Omar,"{'normalized': 20, 'raw': 1}",negative,['Accommodation'],['Makkah'],20,1,negative
377380-203586635763,مرتب ونظيف,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122rg', 'sentiment': None}]",Dammam Corniche,"{'normalized': 60, 'raw': 3}",positive,"['Tourism Attractions/ Sites', 'Tourism Attractions/ Sites']","['Khobar', 'Dammam']",60,3,neutral
377380-174044976482,ممتاز,2021-04-28T22:24:00+00:00,ara,"[{'value': 'c07bja4bb64t6si78uog', 'sentiment': None}]","Makkah Clock Royal Tower, A Fairmont Hotel","{'normalized': 100, 'raw': 5}",positive,['Accommodation'],['Makkah'],100,5,positive
377380-203597272894,منتزه رائع جدا ..,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Arruddaf Park,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Taif'],100,5,positive
377380-203591482060,حديقة الملك عبدالله بالرياض من أفضل الأماكن السياحية. انصح الجميع بزيارتها,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rquskbb64sdb6ukkq0', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}]",King Abdullah Park,"{'normalized': 100, 'raw': 5}",positive,"['Tourism Attractions/ Sites', 'Accommodation', 'Tourism Attractions/ Sites']","['Madinah', 'Riyadh', 'Riyadh']",100,5,positive
377380-203588505763,Strongly recommend.,2021-04-11T06:47:00+00:00,eng,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Al-Waba Crater,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Taif'],100,5,positive
377380-174035985441,فندق جميل جدا ... والموظفين رائعين,2021-04-29T19:17:00+00:00,ara,"[{'value': 'c07bja4bb64t6si78uog', 'sentiment': None}]",Midan Hotel,"{'normalized': 100, 'raw': 5}",positive,['Accommodation'],['Makkah'],100,5,positive
377380-203588224637,nice.very beautiful,2021-04-11T06:47:00+00:00,eng,"[{'value': 'c07bjunepd3oq1r125cg', 'sentiment': None}, {'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Al Faisaliah garden,"{'normalized': 100, 'raw': 5}",positive,"['Food & Beverage', 'Tourism Attractions/ Sites']","['Taif', 'Taif']",100,5,positive
377380-174152230418,ممتاز,2021-04-30T05:29:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123jg', 'sentiment': None}]",Madinah Hilton,"{'normalized': 100, 'raw': 5}",positive,['Accommodation'],['Madinah'],100,5,positive
377380-203582820578,"شاطئ العقير ، يبعد عن الأحساء تقريبا ثمانين كيلا . بعد التجديد والتحسين والتطوير أصبح مقصدا سياحيا رائعا ، اجتمع فيه البحر بسيف رملي نظيف مع مسطحات خضراء وأشجار وجلسات ومظلات وكبائن ومواقد للشواء ودورات مياه . المكان يستحق أن تجعل له يوما كاملا . ملاحظة : يجب عليك اختيار الوقت المناسب للرحلة لكي تستمتع بالأجواء العليلة . ولا تتأخر في المجيء لكي تجد مكانا مناسبا . ولا تنس احضار كل ما يلزم لاكتمال الرحلة من أدوات الجلوس والمتعة والسباحة والطعام والشراب وغيرها . يوجد قسم ضيافة خاص بالأمانة في الجهة شمالية .",2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdfc8hb0r13sa7ag0', 'sentiment': None}, {'value': 'c07bdfc8hb0r13sa7agg', 'sentiment': None}]",Uqair Beach,"{'normalized': 60, 'raw': 3}",positive,"['Food & Beverage', 'Tourism Attractions/ Sites']","['Al Ahsa', 'Al Ahsa']",60,3,neutral
377380-203587692340,ممتاز,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}]",Rawdah Park,"{'normalized': 100, 'raw': 5}",positive,"['Tourism Attractions/ Sites', 'Tourism Attractions/ Sites']","['Madinah', 'Riyadh']",100,5,positive
377380-203583217417,مكان رائع جدا,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c9g7o87epd3vh6lri8bg', 'sentiment': None}]",Jabal Sawda,"{'normalized': 60, 'raw': 3}",positive,['Tourism Attractions/ Sites'],['Abha'],60,3,neutral
377380-203583043265,ذكريات الطفوله,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdfc8hb0r13sa7agg', 'sentiment': None}]",Al Ahsa National Park,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Al Ahsa'],100,5,positive
377380-203584376758,هدوء وجميل جدا,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122rg', 'sentiment': None}]",Modon Lake Park,"{'normalized': 100, 'raw': 5}",positive,"['Tourism Attractions/ Sites', 'Tourism Attractions/ Sites']","['Khobar', 'Dammam']",100,5,positive
377380-203588648251,Terrific !!! Loved it ❤❤,2021-04-11T06:48:00+00:00,eng,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Al Hada Cable Car,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Taif'],100,5,positive
377380-174284568517,Good clean rooms,2021-05-02T19:05:00+00:00,eng,"[{'value': 'c0rqv44bb64sdb6ukkr0', 'sentiment': None}]","Crowne Plaza Riyadh Minhal, an IHG Hotel","{'normalized': 80, 'raw': 4}",positive,['Food & Beverage'],['Riyadh'],80,4,positive
377380-203589031790,"It is zero .... How can we called NATIONAL PARK... there is nothing , you can only make barbecue but at the end , the playground for the children are on rocks and sand , which is not safe for the children , the games are in steel under the hot sun ..... I don’t recommended it , oooh sorry there is also one river , the water is black !",2021-04-11T06:48:00+00:00,eng,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Saiysad National park,"{'normalized': 20, 'raw': 1}",negative,['Tourism Attractions/ Sites'],['Taif'],20,1,negative
377380-203597258204,مكان جميل جدا,2021-04-11T06:48:00+00:00,ara,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Arruddaf Park,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Taif'],100,5,positive
377380-203588952784,روعه وممتاز للسباحه,2021-04-11T06:48:00+00:00,ara,"[{'value': 'c9g9th4bb64rs4ni6s70', 'sentiment': None}]",Umluj Beach,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Umluj'],100,5,positive
377380-203585567993,جميل جدا روعه,2021-04-11T06:48:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}, {'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rquskbb64sdb6ukkq0', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122rg', 'sentiment': None}]","King Abdullah Park, Sea front","{'normalized': 100, 'raw': 5}",positive,"['Tourism Attractions/ Sites', 'Tourism Attractions/ Sites', 'Accommodation', 'Tourism Attractions/ Sites', 'Tourism Attractions/ Sites']","['Khobar', 'Madinah', 'Riyadh', 'Riyadh', 'Dammam']",100,5,positive
377380-203588505899,It is super place and those who love hiking will love to enjoy it here,2021-04-11T06:48:00+00:00,eng,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Al-Waba Crater,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Taif'],100,5,positive
377380-203589383017,المكان هو اساس كورنيش الهيئة الملكية قديمآ .. الأن أصبح شبه مهجور ومافيه اهتمام بالعشب والمكان بعد افتتاح الواجهة الجديده اتوقع انه ماراح يترك من قبل الهيئه ولها تخطيطها المستقبلي في جعل ذلك المكان افضل من ماكان من الأخر ينبع جميله وتستحق الزياره 👌 The place is the basis of the ancient Royal Commission Corniche. Now it is almost deserted and there is no interest in the grass and the place after the opening of the new facade I expect that it will not be left by the authority and it has its future planning in making that place better than it was From the other stems are beautiful and worth a visit 👌,2021-04-11T06:48:00+00:00,ara,"[{'value': 'c9ga0skbb64rs4ni6s7g', 'sentiment': None}]",Alsubh Park,"{'normalized': 100, 'raw': 5}",negative,['Tourism Attractions/ Sites'],['Yanbu'],100,5,positive
377380-203591489637,مريح,2021-04-11T06:48:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rquskbb64sdb6ukkq0', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}]",King Abdullah Park,"{'normalized': 100, 'raw': 5}",positive,"['Tourism Attractions/ Sites', 'Accommodation', 'Tourism Attractions/ Sites']","['Madinah', 'Riyadh', 'Riyadh']",100,5,positive
377380-203587198549,جميله جدا,2021-04-11T06:48:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}]",Ushaiqer Heritage Village,"{'normalized': 100, 'raw': 5}",positive,"['Tourism Attractions/ Sites', 'Tourism Attractions/ Sites']","['Madinah', 'Riyadh']",100,5,positive
377380-203584368385,Very nice park for families,2021-04-11T06:48:00+00:00,eng,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122rg', 'sentiment': None}]",Modon Lake Park,"{'normalized': 100, 'raw': 5}",positive,"['Tourism Attractions/ Sites', 'Tourism Attractions/ Sites']","['Khobar', 'Dammam']",100,5,positive
377380-203590623543,من أجمل ما رايت في ينبع الصناعية.,2021-04-11T06:48:00+00:00,ara,"[{'value': 'c9ga0skbb64rs4ni6s7g', 'sentiment': None}]",Yanbu Lake Park,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Yanbu'],100,5,positive
377380-203587562376,UNFORGETTABLE EXPERIENCE!,2021-04-11T06:48:00+00:00,eng,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}]",The Saudi National Museum - The Saudi National Museum,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Madinah'],100,5,positive
377380-203590482585,جيد,2021-04-11T06:48:00+00:00,ara,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Green Mountain Resort,"{'normalized': 20, 'raw': 1}",positive,['Tourism Attractions/ Sites'],['Taif'],20,1,negative
377380-203586635458,Nice place,2021-04-11T06:48:00+00:00,eng,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122rg', 'sentiment': None}]",Dammam Corniche,"{'normalized': 100, 'raw': 5}",positive,"['Tourism Attractions/ Sites', 'Tourism Attractions/ Sites']","['Khobar', 'Dammam']",100,5,positive
377380-203587342194,جميل مريح جداً,2021-04-11T06:48:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rquskbb64sdb6ukkq0', 'sentiment': None}]",King Salman Park,"{'normalized': 80, 'raw': 4}",positive,"['Tourism Attractions/ Sites', 'Accommodation']","['Madinah', 'Riyadh']",80,4,positive
377380-203583219494,روعة و جمال و أجواء خيالية في فصل الصيف لابد من التجربة,2021-04-11T06:48:00+00:00,ara,"[{'value': 'c9g7o87epd3vh6lri8bg', 'sentiment': None}]",Jabal Sawda,"{'normalized': 80, 'raw': 4}",positive,['Tourism Attractions/ Sites'],['Abha'],80,4,positive
377380-203587587183,الهدوء,2021-04-11T06:48:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}]",Olaya Park,"{'normalized': 100, 'raw': 5}",neutral,['Tourism Attractions/ Sites'],['Madinah'],100,5,positive
377380-203584270049,مكان جميل ومناسب للاطفال,2021-04-11T06:49:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}]",Prince Ibn Jalawy Park,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Khobar'],100,5,positive
377380-203583050450,Very well maintained and a must place if you happen to be in Aljouf.,2021-04-11T06:49:00+00:00,eng,"[{'value': 'c07bkec8hb0r13sa7csg', 'sentiment': None}]",Marid Castle,"{'normalized': 80, 'raw': 4}",positive,['Tourism Attractions/ Sites'],['Sakaka / AlJouf'],80,4,positive
377380-203587645737,Its a good shopping market,2021-04-11T06:49:00+00:00,eng,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rqvf8cu1i938rekgn0', 'sentiment': None}]",Souq Al Zel,"{'normalized': 100, 'raw': 5}",positive,"['Tourism Attractions/ Sites', 'Retail']","['Madinah', 'Riyadh']",100,5,positive
377380-174904218980,مكان مميز ويستحق الزياره,2021-05-07T03:53:00+00:00,ara,"[{'value': 'c07bdfc8hb0r13sa7afg', 'sentiment': None}]",فندق الكوت التراثي - Al Koot Heritage Hotel,"{'normalized': 100, 'raw': 5}",positive,['Accommodation'],['Al Ahsa'],100,5,positive
377380-203585930419,شاطئ سئ جدا جداااا لا انصح بيه اطلاقا الشاطئ مش نظيف خالص مليان صخور و المايه مش نظيفه ابدا الحاجه الصادمة هناك انهم بيأجروا الفوط للناس على الشط و كل ما تتنفس هناك هتدفع فلوس.. منتهى الاستغلال مكان لا يرقى للشواطئ العمومية في مصر,2021-04-11T06:49:00+00:00,ara,"[{'value': 'c9g8qqc8hb0qun2qahs0', 'sentiment': None}]",Yam Beach,"{'normalized': 20, 'raw': 1}",negative,['Tourism Attractions/ Sites'],['KAEC'],20,1,negative
377380-203587580987,ممتاز للعائلات,2021-04-11T06:49:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}]",Olaya Park,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Madinah'],100,5,positive
377380-174775695503,Tv not working perfectly,2021-05-07T06:23:00+00:00,eng,"[{'value': 'c0rqv44bb64sdb6ukkr0', 'sentiment': None}]",Meral Crown Hotel,"{'normalized': 80, 'raw': 4}",negative,['Food & Beverage'],['Riyadh'],80,4,positive
377380-203583764879,Not found good stuff,2021-04-11T06:49:00+00:00,eng,"[{'value': 'c07bdfc8hb0r13sa7agg', 'sentiment': None}, {'value': 'c07bdfc8hb0r13sa7ah0', 'sentiment': None}]",Al Ahsa Mall by Arabian Centres,"{'normalized': 40, 'raw': 2}",negative,"['Tourism Attractions/ Sites', 'Retail']","['Al Ahsa', 'Al Ahsa']",40,2,negative
377380-174752668604,Normal,2021-05-07T10:32:00+00:00,eng,"[{'value': 'c07bdifepd3oq1r122s0', 'sentiment': None}]",Mall of Dhahran,"{'normalized': 40, 'raw': 2}",positive,['Retail'],['Dammam'],40,2,negative
377380-203585578288,رائع,2021-04-11T06:49:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}, {'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rquskbb64sdb6ukkq0', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122rg', 'sentiment': None}]","King Abdullah Park, Sea front","{'normalized': 80, 'raw': 4}",positive,"['Tourism Attractions/ Sites', 'Tourism Attractions/ Sites', 'Accommodation', 'Tourism Attractions/ Sites', 'Tourism Attractions/ Sites']","['Khobar', 'Madinah', 'Riyadh', 'Riyadh', 'Dammam']",80,4,positive
377380-203583212941,المكان سيئ من ناحيه شبت النار ممنوع و ازعاج شرطه البيئه رايحه جايه و لا فيه انوار مظلم المكان 👎🏻👎🏻👎🏻👎🏻,2021-04-11T06:49:00+00:00,ara,"[{'value': 'c9g7o87epd3vh6lri8bg', 'sentiment': None}]",Jabal Sawda,"{'normalized': 100, 'raw': 5}",negative,['Tourism Attractions/ Sites'],['Abha'],100,5,positive
377380-203590621496,رائعة مميزة,2021-04-11T06:49:00+00:00,ara,"[{'value': 'c9ga0skbb64rs4ni6s7g', 'sentiment': None}]",Yanbu Lake Park,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Yanbu'],100,5,positive
377380-176051956142,Nice hotel,2021-05-07T16:41:00+00:00,eng,"[{'value': 'c07bja4bb64t6si78uog', 'sentiment': None}]",Jabal Omar Hyatt Regency Makkah,"{'normalized': 100, 'raw': 10}",positive,['Accommodation'],['Makkah'],100,10,positive
377380-203585456386,جميل جدا,2021-04-11T06:49:00+00:00,ara,"[{'value': 'c9g7o87epd3vh6lri8bg', 'sentiment': None}]",Abu Kheyal Park,"{'normalized': 80, 'raw': 4}",positive,['Tourism Attractions/ Sites'],['Abha'],80,4,positive
377380-203589247654,جميله جدا انصح بها,2021-04-11T06:49:00+00:00,ara,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Alanoud Park,"{'normalized': 60, 'raw': 3}",positive,['Tourism Attractions/ Sites'],['Taif'],60,3,neutral
377380-203586135109,جوانا وكندة في حديقة الفلاح,2021-04-11T06:49:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}]",Falah Park,"{'normalized': 80, 'raw': 4}",neutral,['Tourism Attractions/ Sites'],['Madinah'],80,4,positive
377380-203585123821,One of the best place in Saudi Arabia,2021-04-11T06:49:00+00:00,eng,"[{'value': 'c9g8ijgcu1ielf8dr38g', 'sentiment': None}]",Wadi Lajab,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Jizan'],100,5,positive
